ID|Title|Summary
1|The Architecture of Cognition|Spanning seven orders of magnitude: a challenge for
2|Toward an instance theory of automatization|This article presents a theory in which automatization is construed as the acquisition of a domain-specific knowledge base, formed of separate representations, instances, of each exposure to the task. Processing is considered automatic if it relies on retrieval of stored instances, which will occur only after practice in a consistent environment. Practice is important because it increases the amount retrieved and the speed of retrieval; consistency is important because it ensures that the retrieved instances will be useful. The theory accounts quantitatively for the power-function speed-up and predicts a power-function reduction in the standard deviation that is constrained to have the same exponent as the power function for the speed-up. The theory accounts for qualitative properties as well, explaining how some may disappear and others appear with practice. More generally, it provides an alternative to the modal view of automaticity, arguing that novice performance is limited by a lack of knowledge rather than a scarcity of resources. The focus on learning avoids many problems with the modal view that stem from its focus on resource limitations. Automaticity is an important phenomenon in everyday men-tal life. Most of us recognize that we perform routine activities quickly and effortlessly, with little thought and conscious aware-ness--in short, automatically (James, 1890). As a result, we of-ten perform those activities on &amp;quot;automatic pilot &amp;quot; and turn our minds to other things. For example, we can drive to dinner while conversing in depth with a visiting scholar, or we can make coffee while planning dessert. However, these benefits may be offset by costs. The automatic pilot can lead us astray, caus-ing errors and sometimes catastrophes (Reason &amp; Myceilska, 1982). If the conversation is deep enough, we may find ourselves and the scholar arriving at the office rather than the restaurant, or we may discover that we aren&#039;t sure whether we put two or three scoops of coffee into the pot. Automaticity is also an important phenomenon in skill acqui-sition (e.g., Bryan &amp; Harter, 1899). Skills are thought to consist largely of collections of automatic processes and procedures
4|Intelligent Tutoring Goes to School in the Big City|Abstract. This paper reports on a large-scale experiment introducing and evaluating intelligent tutoring in an urban High School setting. Critical to the success of this project has been a client-centered design approach that has matched our client&#039;s expertise in curricular objectives and classroom teaching with our expertise in artificial intelligence and cognitive psychology. The Pittsburgh Urban Mathematics Project (PUMP) has produced an algebra curriculum that is centrally focused on mathematical analysis of real world situations and the use of computational tools. We have built an intelligent tutor, called PAT, that supports this curriculum and has been made a regular part of 9th grade Algebra in 3 Pittsburgh schools. In the 1993-94 school year, we evaluated the effect of the PUMP curriculum and PAT tutor use. On average the 470 students in experimental classes outperformed students in comparison classes by 15% on standardized tests and 100 % on tests targeting the PUMP objectives. This study provides further evidence that laboratory tutoring systems can be scaled up and made to work, both technically and pedagogically, in real and unforgiving settings like urban high schools. 1.
5|Cognitive tutors: Lessons learned|This article reviews the 10-year history of tutor development based on the
6|Judgments of frequency and recognition memory in a multiple-trace memory model (Tech  (1986) |The multiple-trace simulation model, MINERVA 2, was applied to a number of phenomena found in experiments on relative and absolute judgments of frequency, and forced-choice and yes-no recognition memory. How the basic model deals with effects of repetition, forgetting, list length, orientation task, selective retrieval, and similarity and how a slightly modified version accounts for effects of contextual variability on frequency judgments were shown. Two new experiments on similarity and recognition memory were presented, together with appropriate simulations; attempts to modify the model to deal with additional phenomena were also described. Questions related to the representation of frequency are addressed, and the model is evaluated and compared with related models of frequency judgments and recognition memory. Although memory for specific events (episodic memory) and memory for abstract concepts (generic memory) seem quite different intuitively, experimental evidence for different underlying systems is sparse (see McKoon, Ratcliff,  &amp; Dell, 1986; Ratcliff &amp; McKoon, 1986; Tulving, 1986). One suggestion has been that the two systems are affected differently by repetition,
7|Automated Intelligent Pilots for Combat Flight Simulation|TacAir-Soar is an intelligent, rule-based system that generates believable &#034;human-like&#034; behavior for large scale, distributed military simulations. The innovation of the application is primarily a matter of scale and integration. The system is capable of executing most of the airborne missions that the United States military flies in fixed-wing aircraft. It accomplishes this by integrating a wide variety of intelligent capabilities, including real-time hierarchical execution of complex goals and plans, communication and coordination with humans and simulated entities, maintenance of situational awareness, and the ability to accept and respond to new orders while in flight. The system is currently deployed at the Oceana Naval Air Station WISSARD Lab and the Air Force Research Laboratory in Mesa, AZ. Its most dramatic use was in the Synthetic Theater of War 1997, which was an operational training exercise that ran for 48 continuous hours during which TacAir-Soar flew all U.S. fixed-wing aircraft.
8|Retrieval of propositional information from long-term memory|Three experiments are reported in which subjects learn propositions like A hippie is in the park. The experiments manipulate the number of such propositions involving a particular person (e.g., hippie) or a par-ticular location (e.g., park). After learning the material, subjects are asked to judge whether particular probe propositions are from the study set. Times to make these judgments about probe propositions increase with the number of study propositions involving the person or location used in the probe proposition. A model is presented which assumes a subject simul-taneously accesses memory from all concepts in a probe proposition and serially searches through all study propositions involving each concept. Search of memory terminates as soon as one search process from a concept finds the probe proposition or exhausts the study propositions attached to that concept. This paper is concerned with how propositional information is re-trieved from long-term memory. Three variations will be reported on a
9|The Fan Effect: New Results and New Theories|The fan effect (Anderson, 1974) has been attributed to interference among competing associations to a concept. Recently, it has been suggested that such effects might be due to multiple mental models (Radvansky, Spieler,  &amp; Zacks, 1993) or suppression of concepts (Anderson &amp; Spellman, 1995; Conway &amp; Engle, 1994). We show that the ACT-R (Adaptive Control of Thought-Rational) theory, which embodies associative interference, is consistent with the Radvansky et al results and we fail to find any evidence for concept suppression in a new fan experiment. The ACT-R model provides good quantitative fits to the results from a variety of experiments. The three key concepts in these fits are (a) the associative strength between two concepts reflect the degree to which one concept predicts the other; (b) foils are rejected by retrieving mismatching facts; and (c) subjects can adjust the relative weights they give to various cues in retrieval. 
10|Locus of feedback control in computer-based tutoring: Impact on learning rate, achievement and attitudes|The advent of second-generation intelligent computer tutors raises an important instructional design question:  when should tutorial advice be presented in problem solving? This paper examines four feedback conditions in the ACT Programming Tutor. Three versions offer the student different levels of control over error feedback and correction: (a) immediate feedback and immediate error correction; (b) immediate error flagging and student control of error correction; (c) feedback on demand and student control of error correction. A fourth, No-tutor condition offers no step-by-step problem solving support. The immediate feedback group with greatest tutor control of problem solving yielded the most efficient learning. These students completed the tutor problems fastest, and the three tutor-
11|Does learning a complex task have to be complex? A study in learning decomposition|Many theories of skill acquisition have had considerable success in addressing the fine details of learning in relatively simple tasks, but can they scale up to complex tasks that are more typical of human learning in the real world? Some theories argue for scalability by making the implicit assumption that complex tasks consist of many smaller parts, which are learned according to basic learning principles. Surprisingly, there has been rather sparse empirical testing of this crucial assumption. In this article, we examine this assumption directly by decomposing the learning in the Kanfer–Ackerman Air-Traffic Controller Task (Ackerman, 1988) from the learning at the global level all the way down to the learning at the keystroke level. First, we reanalyze the data from Ackerman (1988) and show that the learning in this complex task does indeed reflect the learning of smaller parts at the keystroke level. Second, in a follow-up eye-tracking experiment, we show that a large portion of the learning at the keystroke level reflects the learning even at a lower, i.e., attentional level. © 2001 Academic Press Over the past 2 decades there have appeared a number of theories of skill
