ID|Title|Summary
1|Testing MapReduce-Based Systems |Abstract. MapReduce (MR) is the most popular solution to build applications for large-scale data processing. These applications are often deployed on large clusters of commodity machines, where failures happen constantly due to bugs, hardware problems, and outages. Testing MR-based systems is hard, since it is needed a great effort of test harness to execute distributed test cases upon failures. In this paper, we present a novel testing solution to tackle this issue called HadoopTest. This solution is based on a scalable harness approach, where distributed tester components are hung around each map and reduce worker (i.e., node). Testers are allowed to stimulate each worker to inject failures on them, monitor their behavior, and validate testing results. HadoopTest was used to test two applications bundled into Hadoop, the Apache open source MapReduce implementation. Our initial implementation demonstrates promising results, with HadoopTest coordinating test cases across distributed MapReduce workers, and finding bugs.
2|MapReduce: Simplified Data Processing on Large Clusters|MapReduce is a programming model and an associated implementation for processing and generating large data sets. Users specify a map function that processes a key/value pair to generate a set of intermediate key/value pairs, and a reduce function that merges all intermediate values associated with the same intermediate key. Many real world tasks are expressible in this model, as shown in the paper. Programs written in this functional style are automatically parallelized and executed on a large cluster of commodity machines. The run-time system takes care of the details of partitioning the input data, scheduling the program’s execution across a set of machines, handling machine failures, and managing the required inter-machine communication. This allows programmers without any experience with parallel and distributed systems to easily utilize the resources of a large distributed system. Our implementation of MapReduce runs on a large cluster of commodity machines and is highly scalable: a typical MapReduce computation processes many terabytes of data on thousands of machines. Programmers find the system easy to use: hundreds of MapReduce programs have been implemented and upwards of one thousand MapReduce jobs are executed on Google’s clusters every day.  
3|ASM: A code manipulation tool to implement adaptable systems|ABSTRACT. ASM is a Java class manipulation tool designed to dynamically generate and manipulate Java classes, which are useful techniques to implement adaptable systems. ASM is based on a new approach, compared to equivalent existing tools, which consists in using the &amp;quot;visitor&amp;quot; design pattern without explicitly representing the visited tree with objects. This new approach gives much better performances than those of existing tools, for most of practical needs. RÉSUMÉ. ASM est un outil de manipulation de classes Java conçu pour la génération et la manipulation dynamiques de code, qui sont des techniques très utiles pour la réalisation de systèmes adaptables. ASM est basé sur une approche originale, par rapport aux outils existants équivalents, qui consiste à utiliser le patron de conception « visiteur » sans représenter explicitement l’arborescence visitée sous forme d’objets. Cette nouvelle approche permet d’obtenir des performances bien supérieures à celles des outils existants, pour la plupart des besoins courants.
4|Boom analytics: exploring data-centric, declarative programming for the cloud|Building and debugging distributed software remains extremely difficult. We conjecture that by adopting a datacentric approach to system design and by employing declarative programming languages, a broad range of distributed software can be recast naturally in a data-parallel programming model. Our hope is that this model can significantly raise the level of abstraction for programmers, improving code simplicity, speed of development, ease of software evolution, and program correctness. This paper presents our experience with an initial largescale experiment in this direction. First, we used the Overlog language to implement a “Big Data ” analytics stack that is API-compatible with Hadoop and HDFS and provides comparable performance. Second, we extended the system with complex distributed features not yet available in Hadoop, including high availability, scalability, and unique monitoring and debugging facilities. We present both quantitative and anecdotal results from our experience, providing some concrete evidence that both data-centric design and declarative languages can substantially simplify distributed systems programming.
5|Test Oracles|All software testing methods depend on the availability of an oracle, that is,  some method for checking whether the system under test has behaved correctly  on a particular execution. An ideal oracle would provide an unerring pass/fail  judgment for any possible program execution, judged against a natural specification  of intended behavior. Practical approaches must make compromises to balance  trade-offs and provide useful capabilities. This report surveys proposed approaches  to the oracle problem that are general in the sense that they require neither  pre-computed input/output pairs nor a previous version of the system under test.  The survey is not encyclopedic, but discusses representative examples of the main  approaches and tactics for solving common problems.  Partially supported by the Italian National Research Council (CNR). This work has also been supported  by the Defense Advanced Research Projects Agency and Rome Laboratory, Air Force Materiel Command,  USAF, under agreement number F30602-97-2-0034. The U.S. Government is authorized to reproduce and  distribute reprints for Governmental purposes notwithstanding any copyright annotation thereon. The views  and conclusions contained herein are those of the authors and should not be interpreted as necessarily representing  the official policies or endorsements, either expressed or implied, of the Defense Advanced Research  Projects Agency, Rome Laboratory, or the U.S. Government.  1  Contents  1 
6|Location-aware topology matching in p2p systems|Abstract—Peer-to-Peer (P2P) computing has emerged as a popular model aiming at further utilizing Internet information and resources, complementing the available client-server services. However, the mechanism of peers randomly choosing logical neighbors without any knowledge about underlying physical topology can cause a serious topology mismatching between the P2P overlay network and the physical underlying network. The topology mismatching problem brings a great stress in the Internet infrastructure and greatly limits the performance gain from various search or routing techniques. Meanwhile, due to the inefficient overlay topology, the flooding-based search mechanisms cause a large volume of unnecessary traffic. Aiming at alleviating the mismatching problem and reducing the unnecessary traffic, we propose a locationaware topology matching (LTM) technique, an algorithm of building an efficient overlay by disconnecting low productive connections and choosing physically closer nodes as logical neighbors while still retaining the search scope and reducing response time for queries. LTM is scalable and completely distributed in the sense that it does not require any global knowledge of the whole overlay network when each node is optimizing the organization of its logical neighbors. The effectiveness of LTM is demonstrated through simulation studies. Keywords-peer-to-peer; topology mismatching; blind flooding; location-aware topology matching; search efficiency I.
7|A Practical System for Mutation Testing: Help for the Common Programmer |Mutation testing is a technique for unit testing software that, although powerful, is computationally expensive. Recent engineering advances have given us techniques and algorithms for significantly reducing the cost of mutation testing. These techniques include a new algorithmic execution technique called schema-based mutation, an approximation technique called weak mutation, a reduction technique called selective mutation, and algorithms for automatic test data generation. This paper outlines a design for a system that will approximate mutation, but in a way that will be accessible to everyday programmers. We envision a system to which a programmer can submit a program unit, and get back a set of input/output pairs that are guaranteed to form an effective test of the unit by being close to mutation adequate.  1 
8|Mujava: a mutation system for java|Mutation testing is a valuable experimental research tech-nique that has been used in many studies. It has been experimentally compared with other test criteria, and also used to support experimental comparisons of other test cri-teria, by using mutants as a method to create faults. In effect, mutation is often used as a “gold standard ” for ex-perimental evaluations of test methods. Although mutation testing is powerful, it is a complicated and computationally expensive testing method. Therefore, automated tool sup-port is indispensable for conducting mutation testing. This demo presents a publicly available mutation system for Java that supports both method-level mutants and class-level mu-tants. MuJava can be freely downloaded and installed with relative ease under both Unix and Windows. MuJava is of-fered as a free service to the community and we hope that it will promote the use of mutation analysis for experimental research in software testing.
9|Test Architectures for Distributed Systems - State of the Art and Beyond|A generic test architecture for conformance, interoperability and performance testing of distributed systems is presented. The generic test architecture extends current test architectures with respect to the types of systems that can be tested. Whereas in the conformance testing methodology and framework the focus is on testing protocol implementations, the generic architecture focuses on testing real distributed systems whose communication functions are implemented on different real systems and whose correctness can only be assessed when tested as a whole. In support of the latter requirement, a test system itself is regarded as being a distributed system whose behaviour is determined by the behaviour of components and their interaction using a flexible and dynamic communication structure.  Keywords  CTMF, TTCN, test architecture, types of testing, advanced distributed systems  1 INTRODUCTION  A distributed processing system is a system which can exploit a physical architecture consis...
10|Ganesha: Black-box diagnosis of mapreduce systems|Ganesha aims to diagnose faults transparently (in a blackbox manner) in MapReduce systems, by analyzing OS-level metrics. Ganesha’s approach is based on peer-symmetry under fault-free conditions, and can diagnose faults that manifest asymmetrically at nodes within a MapReduce system. We evaluate Ganesha by diagnosing Hadoop problems for the Gridmix Hadoop benchmark on 10-node and 50-node MapReduce clusters on Amazon’s EC2. We also candidly highlight faults that escape Ganesha’s diagnosis. 1.
