ID|Title|Summary
1|Temporal and modal logic|We give a comprehensive and unifying survey of the theoretical aspects of Temporal and  modal logic.
2|Design and Synthesis of Synchronization Skeletons Using Branching Time Temporal Logic|We propose a method of constructing concurrent programs in which the synchroni-zation skeleton of the program ~s automatically synthesized from a high-level (branching time) Temporal Logic specification. The synchronization skeleton is an abstraction of the actual program where detail irrelevant to synchronization is
3|Knowledge and Common Knowledge in a Distributed Environment|: Reasoning about knowledge seems to play a fundamental role in distributed systems. Indeed, such reasoning is a central part of the informal intuitive arguments used in the design of distributed protocols. Communication in a distributed system can be viewed as the act of transforming the system&#039;s state of knowledge. This paper presents a general framework for formalizing and reasoning about knowledge in distributed systems. We argue that states of knowledge of groups of processors are useful concepts for the design and analysis of distributed protocols. In particular, distributed knowledge  corresponds to knowledge that is &#034;distributed&#034; among the members of the group, while  common knowledge corresponds to a fact being &#034;publicly known&#034;. The relationship between common knowledge and a variety of desirable actions in a distributed system is illustrated. Furthermore, it is shown that, formally speaking, in practical systems common knowledge cannot be attained. A number of weaker variants...
4|Checking that finite state concurrent programs satisfy their linear specification|We present an algorithm for checking satisfiabil-ity of a linear time temporal logic formula over a finite state concurrent program. The running time of the al-gorithm is exponential in the size of the formula but lin-ear in the size of the checked program. The algorithm yields also a formal proof in case the formula is valid over the program. The algorithm has four versions that check satisfiability by unrestricted, impartial, just and fair computations of the given program.
5|Decision Procedures and Expressiveness in the Temporal Logic of Branching Time|We consider the computation tree logic (CTL) proposed in (Set. Comput. Programming 2
6|Reasoning about networks with many identical  processes|Consider a distributed mutual exclusion algorithm fur processes ar-ranged in a ring network in which mutual exclusion is guaranteed by means of a token that is passed around the ring ( [6], [10], [12]). How can we determine that such a system of processes is correct? Our first attempt might be to consider a reduced system with one or two processes. If we can show that the reduced system is correct and if the individual processes are really identical, then we are tempted to con-elude that the entire system will be correct.. In fact, this type of informal argument is used quite frequently by designers in constructing systems that contain large numbers of identical processing elements. Of course, it is easy to contrive an example in which some pathological behavior only occurs when, say, 100 processes are connected together. By ex-amining a system with only one or two processes it might even be quite difficult to determine that this behavior is possible. Nevertheless, one has the feeling that in many cases this kind of intuitive reasoning does
7|The Logic of Distributed Protocols|A propositional logic of distributed protocols is introduced which includes both the  logic of knowledge and temporal logic. Phenomena in distributed computing systems  such as asynchronous time, incomplete knowledge by the computing agents in the  system, and game-like behavior among the computing agents are all modeled in the  logic. Two versions of the logic, the linear logic of protocols (LLP) and the tree logic  of protocols (TLP) are investigated. The main result is that the set of valid formulas  in LLP is undecidable.
9|An axiomatic basis for computer programming|In this paper an attempt is made to explore the logical founda-tions of computer programming by use of techniques which were first applied in the study of geometry and have later been extended to other branches of mathematics. This in-volves the elucidation of sets of axioms and rules of inference which can be used in proofs of the properties of computer programs. Examples are given of such axioms and rules, and a formal proof of a simple theorem is displayed. Finally, it is argued that important advantages, both theoretical and prac-tical, may follow from a pursuance of these topics.
11|The Existence of Refinement Mappings|Refinement mappings are used to prove that a lower-level specification correctly implements a higher-level one. We consider specifications consisting of a state machine (which may be infinite-state) that specifies safety requirements, and an arbitrary supplementary property that specifies liveness requirements. A refinement mapping from a lower-level specification S 1 to a higher-level one S 2 is a mapping from S 1 &#039;s state space to S 2 &#039;s state space. It maps steps of S 1 &#039;s state machine to steps of S 2 &#039;s state machine and maps behaviors allowed by S 1 to behaviors allowed by S 2 . We show that, under reasonable assumptions about the specifications, if S 1 implements S 2 , then by adding auxiliary variables to S 1 we can guarantee the existence of a refinement mapping. This provides a completeness result for a practical, hierarchical specification method. Capsule Review  This report deals with the problem of proving that implementations satisfy their specifications. Suppose, for exa...
12|Proving the Correctness of Multiprocess Programs|The inductive assertion method is generalized to permit formal, machine-verifiable proofs of correctness for multiprocess programs. Individual processes are represented by ordinary flowcharts, and no special synchronization mechanisms are assumed, so the method can be applied to a large class of multiprocess programs. A correctness proof can be designed together with the program by a hierarchical process of stepwise refinement, making the method practical for larger programs. The resulting proofs tend to be natural formalizations of the informal proofs that are now used.
