ID|Title|Summary
1|When to Trigger Active Rules? |Active rules model and enforce enterprise requirements such as situation monitoring using events, conditions and actions. These rules are termed active rules as they make the underlying application or system such as database management system active capable (i.e., react to changes actively using the push paradigm). Events play a critical role in active rules as they define and detect an occurrence of interest in the real world and trigger the associated rules. Currently active rules are triggered only when events occur completely. Though this allows active rules to model enterprise policies they are not sufficient in modeling situations warranted by applications such as information security. In this paper, we motivate the need for extending events and active rules. We introduce and discuss event extensions and rule generalization and show how these extensions allow the modeling of situations warranted by emerging applications. Finally, we discuss algorithms and implementation of the extensions using the Sentinel Local Event Detector system. 1
3|On The Semantics Of Complex Events In Active Database Management Systems|Active database management systems have been introduced for applications needing an automatic reaction in response to certain events. Events can be simple in nature or complex. Complex events rely on simpler ones and are usually specified with the help of operators of an event algebra.  There are quite a few papers dealing with extensions of existing event algebras. However, a systematic and comprehensive analysis of the semantics of complex events is still lacking. As a consequence most proposals suffer from different kinds of peculiarities. Independent aspects are not treated independently leading to shady mixtures of aspects in operators. Moreover, aspects are not always treated uniformly. Operators may have other semantics than expected.  This paper addresses these problems by an extensive and in-depth analysis of the foundations of complex events. As a result of this analysis, a (formal) metamodel for event algebras will be introduced that subdivides the semantics of complex event...
4|Two Approaches to Event Definition|We compare two approaches to event definition, deriving from the Active Database and Knowledge Representation communities. We relate these approaches by taking a system of the former kind, displaying some of its shortcomings, and rectifying them by remodelling the system in the latter style. We further show the extent to which the original system can be recreated within the remodelled system. This bridge between the two approaches should provide a starting point for fruitful interaction between the two communities.
5|Formalization and Detection of Events Using Interval-Based Semantics|Active databases utilize Event-Condition-Action rules to provide active capability to the underlying system. An event was initially defined to be an instantaneous, atomic occurrence of interest and the time of occurrence of the last event in an event expression was used as the time of occurrence for an entire event expression (detection-based semantics), rather than the interval over which an event expression occurs (interval-based semantics). This introduces semantic discrepancy for some operators when they are composed more than once. Currently, all active databases detect events using the detection-based semantics rather than the interval-based semantics. SnoopIB is an interval-based event specification language developed for expressing primitive and composite events that are part of active rules. Algorithms for event detection using interval-based semantics pose some challenges, as not all events are known (especially their starting points). In this paper, we address the following: 1) briefly explain the need for interval-based semantics, 2) formalization of events accumulated over a semantic window and 3) how diversified events (e.g., sliding window, accumulated) are detected using interval-based semantics in the context of Sentinel – an active object oriented database. 1.
6|An Interval-based Algebra for Restricted Event Detection|Abstract. In this article, we propose an interval based algebra for de-tection of complex events. The algebra includes a strong restriction policy in order to comply with the resource requirements of embedded or real-time applications. We prove a set of algebraic properties to justify the novel restriction policy and to establish the relation between the unre-stricted algebra and the restricted version. Finally, we present an efficient algorithm that implements the proposed algebra. 1
7|Semantic characterization of real world events| Reducing the latency of information delivery in an event driven world has always been a challenge. It is often necessary to completely capture the attributes of events and relationships between them, so that the process of retrieval of event related information is efficient. In this paper, we discuss a formal system for representing and analyzing real world events to address these issues. The event representation discussed in this paper accounts for the important event attributes, namely, time, space, and label. We introduce the notion of sequence templates that not only provides event related semantics but also help in semantically analyzing user queries. Finally, we discuss the design for our Query-Event Analysis System, which is an integrated system to (a) identify a best sequence template given a user query; (b) select events based on the best sequence template; and (c) determine content related to the selected events for delivering to users.  
8|Rules, discretion, and reputation in a model of monetary policy|In a discretionary regime the monetary authority can print more money and create more inflation than people expect. But, although these inflation surprises can have some benefits, they cannot arise systematically in equilibrium when people understand the policymakor&#039;s incentives and form their expectations accordingly. Because the policymaker has the power to create inflation shocks ex post, the equilibrium growth rates of money and prices turn out to be higher than otherwise. Therefore, enforced commitments (rules) for monetary behavior can improve matters. Given the repeated interaction between the policymaker and the private agents, it is possible that reputational forces can substitute for formal rules. Here, we develop an example of a reputational equilibrium where the outcomes turn out to be weighted averages of those from discretion and those from the ideal rule. In particular, the rates of inflation and monetary growth look more like those under discretion when the discount rate is high.
10|Expectations and the Neutrality of Money|This paper provides a simple example of an economy in which equi-librium prices and quantities exhibit what may be the central feature of the modern business cycle: a systematic relation between the rate of change in nominal prices and the level of real output. The relationship,
12|Wage indexation: A macroeconomic approach|This essay examines the role of wage indexation in dampening macroeconomic fluctuations in a simple neoclassical model modified to incorporate short-term wage rigidities and uncer-tainty. The analysis departs from most of the previous literature on indexing in its explicit consideration of real disturbances. It is found that while indexing insulates the real sector from the effects of monetary shocks, it may exacerbate the real effects of real shocks. Thus the analysis suggests an optimal degree of partial indexation that depends on the underlying stochastic structure of the economy. Consequently, optimal indexing will not, in general, insulate the real sector from monetary variability. 1. Iutroductioll This paper develops a framework for investigating the role of indexation in dampening macroeconomic fluctuations. The distinguishing feature of the analysis is the emphasis on real as well as monetary disturbances a a source of price and output, variation. 1 It is found that while indexing insulates the real sector from the effects of monetary shocks, it may exacerbate he real effects of real shocks. For an economy subject o both types of disturbances, this result
13|Monetary Policy During a Transition to Rational Expectations|In standard macroeconomic models incorporating the natural rate hypothesis and rational expectations, monetary policy has no effect on real variables. But the rational expectations assumption that economic agents have learned from their mistaken predictions of the past ignores the transition period during which new information is combined with old information in the formation of new beliefs. The purpose of this paper is to examine the possible effects of monetary policy during this transi-tion period. Using a simple momentary Phillips curve model and a particular characterization of monetary policy, it is shown that real variables (in this case unemployment) can be controlled. Further, an optimal monetary policy is computed by simple variational methods. This policy is a randomized rule which matches the marginal gain from future reductions in unemployment to the marginal loss of increased uncertainty about the price level. Unlike the rational expectations equilibrium, this rule will dominate purely deterministic rules, even if the latter are possible. I.
14|The Ponder Policy Specification Language|The Ponder language provides a common means of specifying security policies that map onto various access control implementation mechanisms for firewalls, operating systems, databases and Java. It supports obligation policies that are event triggered conditionaction rules for policy based management of networks and distributed systems. Ponder can also be used for security management activities such as registration of users or logging and auditing events for dealing with access to critical resources or security violations. Key concepts of the language include roles to group policies relating to a position in an organisation, relationships to define interactions between roles and management structures to define a configuration of roles and relationships pertaining to an organisational unit such as a department. These reusable composite policy specifications cater for the complexity of large enterprise information systems. Ponder is declarative, stronglytyped and object-oriented which makes the language flexible, extensible and adaptable to a wide range of management requirements.  
15|Lattice-Based Access Control Models|The objective of this article is to give a tutorial on lattice-based  access control models for computer security. The paper begins with a review  of Denning&#039;s axioms for information flow policies, which provide a theoretical  foundation for these models. The structure of security labels in the military and  government sectors, and the resulting lattice is discussed. This is followed by a  review of the Bell-LaPadula model, which enforces information flow policies by  means of its simple-security and *-properties. It is noted that information flow  through covert channels is beyond the scope of such access controls. Variations  of the Bell-LaPadula model are considered. The paper next discusses the Biba  integrity model, examining its relationship to the Bell-LaPadula model. The  paper then reviews the Chinese Wall policy, which arises in a segment of the  commercial sector. It is shown how this policy can be enforced in a lattice  framework.
16|Policy driven management of distributed systems|Separating management policy from the automated managers which interpret the policy facilitates the dynamic change of behaviour of a distributed management system. This permits it to adapt to evolutionary changes in the system being managed and to new application requirements. Changing the behaviour of automated managers can be achieved by changing the policy without have to reimplement them – this permits the reuse of the managers in different environments. It is also useful to have a clear specification of the policy applying to human managers in an enterprise. This paper describes the work on policy which has come out of two related ESPRIT funded projects, SysMan and IDSM. Two classes of policy are elaborated – authorisation policies define what a manager is permitted to do and obligation policy define what a manager must do. Policies are specified as objects which define a relationship between subjects (managers) and targets (managed objects). Domains are used to group the objects to which a policy applies. Policy objects also have attributes specifying the action to be performed and constraints limiting the applicability of the policy. We show how a number of example policies can be modelled using these objects and briefly mention issues relating to policy hierarchy and conflicts between overlapping policies.
17|Conflicts in Policy-based Distributed Systems Management|Modern distributed systems contain a large number of objects, and must be capable of evolving, without shutting down the complete system, to cater for changing requirements. There is a need for distributed, automated management agents whose behavior also has to dynamically change to reflect the evolution of the system being managed. Policies are a means of specifying and influencing management behavior within a distributed system, without coding the behavior into the manager agents. Our approach is aimed at specifying implementable policies, although policies may be initially specified at the organizational level (c.f. goals) and then refined to implementable actions. We are concerned with two types of policies. Authorization policies specify what activities a manager is permitted or forbidden to do to a set of target objects and are similar to security accesscontrol policies. Obligation policies specify what activities a manager must or must not do to a set of target objects and essen...
